REGIONDESC,TIMEDESC,PRODHIERARCHY3,PRODHIERARCHY4,PRODHIERARCHY5,PRODHIERARCHY6,VOLUME,REVENUE_PESOS,ACTUALPRICE,DISTRIBUTION_NUMERIC,WEIGHTEDDISTRIBUTION,MAX_TEMP,MIN_TEMP,AVG_TEMP,PRECIPITATION,CATEGORY_SALES,CATEGORY_SALES_REGIONAL,BARILLITO_MC_PRICE,TECATE_MC_PRICE,HEINEKEN_MC_PRICE,INDIO_MC_PRICE,BOHEMIA_MC_PRICE,New_Years_Day,Christmas_Day,Day_of_Dead,Easter_Day,Fathers_Day,Independence_Day,Trend,seasonality_index,Year,GEODESC,CHANNELDESC,PRODDESC,GEODESC1,GEOGDESC
TOTAL AUTOS AREA 2,2018-12-02,BOTELLA,RETORNABLE,1,0-250,0.008,0.32,40.0,1,1,89.8,27.2,61.74, 5.70 ,6125.0819999999985,1680.463,-0.035397725,0.026323729,-0.03823624,0.020139976,0.009975338,0,0,0,0,0,0,1.053894988,-0.045630167,2018,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 4,2019-12-15,BOTELLA,NO RETORNABLE,12,251-400,1.264,50.315,39.80617089,14,18,91.9,30.5,62.25, 1.60 ,7993.681,1253.4260000000004,-0.044898757000000004,-0.021667203,-0.117140177,-0.004539039,-0.026688068,0,0,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
TOTAL AUTOS AREA 1,2018-04-15,BOTELLA,NO RETORNABLE,6,251-400,0.735,29.023000000000003,39.48707483,14,25,100.4,46.4,72.15, -   ,6384.9119999999975,700.561,-0.003973054,-0.01239244,0.05975538,-0.012094721000000001,-0.021239084,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 5,2019-09-15,LATA,NO RETORNABLE,12,251-400,50.983999999999995,1551.5839999999994,30.43276322,83,93,77.8,44.6,64.45, 3.46 ,8666.655,1794.162,0.055110072999999996,-0.006962853000000001,-0.006865063,0.056306497000000004,0.04993622,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,251-400_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 1,2018-08-26,BOTELLA,RETORNABLE,1,1001 O MAS,5.401,152.155,28.17163488,43,51,105.8,60.8,84.59, 8.46 ,5709.565,664.7,-0.005042496,-0.0015885920000000002,-0.033933291000000004,0.012186473,-0.01461731,0,0,0,0,0,0,1.0431159909999999,0.008025792,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,1001 O MAS_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
TOTAL AUTOS AREA 2,2019-09-15,BOTELLA,RETORNABLE,1,0-250,0.022000000000000002,0.935,42.5,1,2,106.9,49.6,77.58, 6.50 ,8666.655,2075.79,0.055110072999999996,-0.006962853000000001,-0.006865063,0.056306497000000004,0.04993622,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 2,TOTAL AUTOS AREA 2
TOTAL AUTOS AREA 5,2019-09-08,LATA,NO RETORNABLE,1,401-500,3.451,145.253,42.09011881,77,86,79.6,48.2,63.94, 3.45 ,6051.834,1000.3530000000001,0.056274492,0.010606315,-0.002171916,0.056008949,0.053751855,0,0,0,0,0,0,1.078147733,-0.021619771,2019,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5,401-500_LATA_NO RETORNABLE,TOTAL AUTOS AREA 5,TOTAL AUTOS AREA 5
TOTAL AUTOS AREA 6,2018-11-25,BOTELLA,RETORNABLE,12,0-250,1.945,80.817,41.55115681,40,51,100.4,48.2,77.65, 9.59 ,5918.74,1251.255,0.019554573000000002,0.004760881,-0.045447651,0.015016256,0.012688173999999998,0,0,0,0,0,0,1.0512002390000001,-0.019863996999999998,2018,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6,0-250_BOTELLA_RETORNABLE,TOTAL AUTOS AREA 6,TOTAL AUTOS AREA 6
TOTAL AUTOS AREA 4,2019-12-22,BOTELLA,NO RETORNABLE,12,251-400,1.0490000000000002,40.174,38.29742612,11,18,92.0,33.2,63.89, 1.09 ,8145.14,1018.3539999999999,-0.038510776000000004,-0.040120892000000005,-0.118604796,-0.011673781000000001,-0.013422934,0,1,0,0,0,0,1.0862319809999998,-0.045630167,2019,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 4,TOTAL AUTOS AREA 4
TOTAL AUTOS AREA 1,2018-04-22,BOTELLA,NO RETORNABLE,6,251-400,0.6920000000000001,27.44,39.65317919,14,24,104.9,46.4,76.71, -   ,5903.285,617.738,0.036030257,0.00120821,0.062247397999999995,-0.007084988,-0.026264904,0,0,0,0,0,0,1.032336993,0.076497199,2018,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1,251-400_BOTELLA_NO RETORNABLE,TOTAL AUTOS AREA 1,TOTAL AUTOS AREA 1
